地方コード,沿線コード,駅コード,沿線,新沿線,駅名,新駅名,Temp,Temp2,沿線CD,駅CD,沿線名,駅名,都道府県名,地方名
1,51,280,函館本線,函館線,小樽築港,小樽築港,,,4010,6920,ＪＲ函館本線,小樽築港,北海道,北海道
1,51,285,函館本線,函館線,朝里,朝里,,,4010,830,ＪＲ函館本線,朝里,北海道,北海道
1,51,295,函館本線,函館線,銭函,銭函,,,4010,21300,ＪＲ函館本線,銭函,北海道,北海道
1,51,298,函館本線,函館線,ほしみ,ほしみ,,,4010,35010,ＪＲ函館本線,ほしみ,北海道,北海道
1,51,300,函館本線,函館線,星置,星置,,,4010,34960,ＪＲ函館本線,星置,北海道,北海道
1,51,302,函館本線,函館線,稲穂,稲穂,,,4010,3380,ＪＲ函館本線,稲穂,北海道,北海道
1,51,305,函館本線,函館線,手稲,手稲,,,4010,25110,ＪＲ函館本線,手稲,北海道,北海道
1,51,306,函館本線,函館線,稲積公園,稲積公園,,,4010,3320,ＪＲ函館本線,稲積公園,北海道,北海道
1,51,308,函館本線,函館線,発寒,発寒,,,4010,30750,ＪＲ函館本線,発寒,北海道,北海道
1,51,309,函館本線,函館線,発寒中央,発寒中央,,,4010,30760,ＪＲ函館本線,発寒中央,北海道,北海道
1,51,310,函館本線,函館線,琴似,琴似,1,6,4010,15100,ＪＲ函館本線,琴似,北海道,北海道
1,51,315,函館本線,函館線,桑園,桑園,1,7,4010,21600,ＪＲ函館本線,桑園,北海道,北海道
1,51,320,函館本線,函館線,札幌,札幌,1,8,4010,16390,ＪＲ函館本線,札幌,北海道,北海道
1,51,325,函館本線,函館線,苗穂,苗穂,1,9,4010,26810,ＪＲ函館本線,苗穂,北海道,北海道
1,51,330,函館本線,函館線,白石,白石,1,10,4010,18900,ＪＲ函館本線,白石,北海道,北海道
1,51,335,函館本線,函館線,厚別,厚別,,,4010,1090,ＪＲ函館本線,厚別,北海道,北海道
1,51,340,函館本線,函館線,森林公園,森林公園,,,4010,20420,ＪＲ函館本線,森林公園,北海道,北海道
1,51,345,函館本線,函館線,大麻,大麻,,,4010,5360,ＪＲ函館本線,大麻,北海道,北海道
1,51,350,函館本線,函館線,野幌,野幌,,,4010,30090,ＪＲ函館本線,野幌,北海道,北海道
1,51,352,函館本線,函館線,高砂,高砂,,,4010,22260,ＪＲ函館本線,高砂,北海道,北海道
1,51,355,函館本線,函館線,江別,江別,,,4010,5100,ＪＲ函館本線,江別,北海道,北海道
1,51,360,函館本線,函館線,豊幌,豊幌,,,4010,26640,ＪＲ函館本線,豊幌,北海道,北海道
1,51,365,函館本線,函館線,幌向,幌向,,,4010,35260,ＪＲ函館本線,幌向,北海道,北海道
1,51,370,函館本線,函館線,上幌向,上幌向,,,4010,9380,ＪＲ函館本線,上幌向,北海道,北海道
1,51,375,函館本線,函館線,岩見沢,岩見沢,1,11,4010,3930,ＪＲ函館本線,岩見沢,北海道,北海道
