沿線CD	駅CD	沿線名	駅名	都道府県名
4006	11530	ＪＲ千歳線	北広島	北海道
4006	17710	ＪＲ千歳線	島松	北海道
4006	39100	ＪＲ千歳線	恵み野	北海道
4006	04970	ＪＲ千歳線	恵庭	北海道
4006	16400	ＪＲ千歳線	サッポロビール庭園	北海道
4006	06810	ＪＲ千歳線	長都	北海道
4006	24120	ＪＲ千歳線	千歳	北海道
4006	37660	ＪＲ千歳線	南千歳	北海道
4006	19850	ＪＲ千歳線	新千歳空港	北海道
4006	04020	ＪＲ千歳線	植苗	北海道
4006	29820	ＪＲ千歳線	沼ノ端	北海道
4006	26360	ＪＲ千歳線	苫小牧	北海道
4075	37660	ＪＲ石勝線	南千歳	北海道
4075	54685	ＪＲ石勝線	追分	北海道
4075	54630	ＪＲ石勝線	川端	北海道
4075	54635	ＪＲ石勝線	滝ノ上	北海道
4075	54645	ＪＲ石勝線	新夕張	北海道
4075	54675	ＪＲ石勝線	占冠	北海道
4075	54680	ＪＲ石勝線	トマム	北海道
4075	54690	ＪＲ石勝線	新得	北海道
4015	54910	ＪＲ室蘭本線	長万部	北海道
4015	54700	ＪＲ室蘭本線	静狩	北海道
4015	54705	ＪＲ室蘭本線	小幌	北海道
4015	54710	ＪＲ室蘭本線	礼文	北海道
4015	54715	ＪＲ室蘭本線	大岸	北海道
4015	54720	ＪＲ室蘭本線	豊浦	北海道
4015	54725	ＪＲ室蘭本線	洞爺	北海道
4015	54730	ＪＲ室蘭本線	有珠	北海道
4015	54735	ＪＲ室蘭本線	長和	北海道
4015	54740	ＪＲ室蘭本線	伊達紋別	北海道
4015	54745	ＪＲ室蘭本線	北舟岡	北海道
4015	54750	ＪＲ室蘭本線	稀府	北海道
4015	54755	ＪＲ室蘭本線	黄金	北海道
4015	54760	ＪＲ室蘭本線	崎守	北海道
4015	54765	ＪＲ室蘭本線	本輪西	北海道
4015	54770	ＪＲ室蘭本線	室蘭	北海道
4015	54775	ＪＲ室蘭本線	母恋	北海道
4015	54780	ＪＲ室蘭本線	御崎	北海道
4015	54785	ＪＲ室蘭本線	輪西	北海道
4015	54790	ＪＲ室蘭本線	東室蘭	北海道
4015	54795	ＪＲ室蘭本線	鷲別	北海道
4015	54800	ＪＲ室蘭本線	幌別	北海道
4015	54805	ＪＲ室蘭本線	富浦	北海道
4015	54810	ＪＲ室蘭本線	登別	北海道
4015	54815	ＪＲ室蘭本線	虎杖浜	北海道
4015	54820	ＪＲ室蘭本線	竹浦	北海道
4015	54825	ＪＲ室蘭本線	北吉原	北海道
4015	54830	ＪＲ室蘭本線	萩野	北海道
4015	54835	ＪＲ室蘭本線	白老	北海道
4015	54840	ＪＲ室蘭本線	社台	北海道
4015	54845	ＪＲ室蘭本線	錦岡	北海道
4015	54850	ＪＲ室蘭本線	糸井	北海道
4015	54855	ＪＲ室蘭本線	青葉	北海道
4015	26360	ＪＲ室蘭本線	苫小牧	北海道
4015	29820	ＪＲ室蘭本線	沼ノ端	北海道
4015	54860	ＪＲ室蘭本線	遠浅	北海道
4015	54865	ＪＲ室蘭本線	早来	北海道
4015	54870	ＪＲ室蘭本線	安平	北海道
4015	54685	ＪＲ室蘭本線	追分	北海道
4015	54875	ＪＲ室蘭本線	三川	北海道
4015	54880	ＪＲ室蘭本線	古山	北海道
4015	54885	ＪＲ室蘭本線	由仁	北海道
4015	54890	ＪＲ室蘭本線	栗山	北海道
4015	54895	ＪＲ室蘭本線	栗丘	北海道
4015	54900	ＪＲ室蘭本線	栗沢	北海道
4015	54905	ＪＲ室蘭本線	志文	北海道
4015	03930	ＪＲ室蘭本線	岩見沢	北海道
4080	26360	ＪＲ日高本線	苫小牧	北海道
4080	54915	ＪＲ日高本線	勇払	北海道
4080	54920	ＪＲ日高本線	浜厚真	北海道
4080	54925	ＪＲ日高本線	浜田浦	北海道
4080	54930	ＪＲ日高本線	鵡川	北海道
4080	54935	ＪＲ日高本線	汐見	北海道
4080	54940	ＪＲ日高本線	富川	北海道
4080	54945	ＪＲ日高本線	日高門別	北海道
4080	54950	ＪＲ日高本線	豊郷	北海道
4080	54955	ＪＲ日高本線	清畠	北海道
4080	54960	ＪＲ日高本線	厚賀	北海道
4080	54965	ＪＲ日高本線	大狩部	北海道
4080	54970	ＪＲ日高本線	節婦	北海道
4080	54975	ＪＲ日高本線	新冠	北海道
4080	54980	ＪＲ日高本線	静内	北海道
4080	54985	ＪＲ日高本線	東静内	北海道
4080	54990	ＪＲ日高本線	春立	北海道
4080	54995	ＪＲ日高本線	日高東別	北海道
4080	55000	ＪＲ日高本線	日高三石	北海道
4080	55005	ＪＲ日高本線	蓬栄	北海道
4080	55010	ＪＲ日高本線	本桐	北海道
4080	55015	ＪＲ日高本線	荻伏	北海道
4080	55020	ＪＲ日高本線	絵笛	北海道
4080	55025	ＪＲ日高本線	浦河	北海道
4080	55030	ＪＲ日高本線	東町	北海道
4080	55035	ＪＲ日高本線	日高幌別	北海道
4080	55040	ＪＲ日高本線	鵜苫	北海道
4080	55045	ＪＲ日高本線	西様似	北海道
4080	55050	ＪＲ日高本線	様似	北海道
4085	54430	ＪＲ留萌本線	深川	北海道
4085	55055	ＪＲ留萌本線	北一已	北海道
4085	55060	ＪＲ留萌本線	秩父別	北海道
4085	55065	ＪＲ留萌本線	北秩父別	北海道
4085	55070	ＪＲ留萌本線	石狩沼田	北海道
4085	55075	ＪＲ留萌本線	真布	北海道
4085	55080	ＪＲ留萌本線	恵比島	北海道
4085	55085	ＪＲ留萌本線	峠下	北海道
4085	55095	ＪＲ留萌本線	幌糠	北海道
4085	55100	ＪＲ留萌本線	藤山	北海道
4085	55105	ＪＲ留萌本線	大和田	北海道
4085	55110	ＪＲ留萌本線	留萌	北海道
4090	54425	ＪＲ根室本線	滝川	北海道
4090	55155	ＪＲ根室本線	東滝川	北海道
4090	55160	ＪＲ根室本線	赤平	北海道
4090	55165	ＪＲ根室本線	茂尻	北海道
4090	55170	ＪＲ根室本線	平岸	北海道
4090	55175	ＪＲ根室本線	芦別	北海道
4090	55180	ＪＲ根室本線	上芦別	北海道
4090	55185	ＪＲ根室本線	野花南	北海道
4090	55470	ＪＲ根室本線	富良野	北海道
4090	55195	ＪＲ根室本線	布部	北海道
4090	55200	ＪＲ根室本線	山部	北海道
4090	55205	ＪＲ根室本線	下金山	北海道
4090	55210	ＪＲ根室本線	金山	北海道
4090	55215	ＪＲ根室本線	東鹿越	北海道
4090	55220	ＪＲ根室本線	幾寅	北海道
4090	55225	ＪＲ根室本線	落合	北海道
4090	54690	ＪＲ根室本線	新得	北海道
4090	55230	ＪＲ根室本線	十勝清水	北海道
4090	55240	ＪＲ根室本線	御影	北海道
4090	55245	ＪＲ根室本線	芽室	北海道
4090	55250	ＪＲ根室本線	大成	北海道
4090	55255	ＪＲ根室本線	西帯広	北海道
4090	55260	ＪＲ根室本線	柏林台	北海道
4090	55265	ＪＲ根室本線	帯広	北海道
4090	55270	ＪＲ根室本線	札内	北海道
4090	55280	ＪＲ根室本線	幕別	北海道
4090	55285	ＪＲ根室本線	利別	北海道
4090	55475	ＪＲ根室本線	池田	北海道
4090	55290	ＪＲ根室本線	十弗	北海道
4090	55295	ＪＲ根室本線	豊頃	北海道
4090	55300	ＪＲ根室本線	新吉野	北海道
